char,total_strokes,radical,meaning,category,components,all_radicals
蟕,19,142.12,a species of tortoise found near the mouth of the Yellow River,Both,"('虫', '觜')","['止', '匕', '角', '虫']"
蚧,10,142.4,"a red spotted lizard, used as medicine",Both,"('虫', '介')","['人', '虫']"
蛑,12,142.6,a marine crab,Both,"('虫', '牟')","['牛', '厶', '虫']"
蚔,10,142.4,ant eggs,Both,"('虫', '氏')","['氏', '虫']"
蚻,11,142.5,small species of cicada,Both,"('札', '虫')","['虫', '木', '乙']"
蟻,19,142.13,ants,Traditional,"('虫', '義')","['羊', '戈', '虫', '手']"
蚂,9,142.3,ant; leech,Simplified,"('虫', '马')","['马', '虫']"
蚍,10,142.4,mussels; various shellfish,Both,"('虫', '比')","['比', '虫']"
蝾,15,142.9,lizard,Simplified,"('虫', '荣')","['冖', '艸', '虫', '木']"
蚵,11,142.5,oyster,Both,"('虫', '可')","['一', '口', '虫', '亅']"
蠈,19,142.13,paddy-destroying grub,Traditional,"('賊', '虫')","['丿', '虫', '貝', '戈', '一']"
虯,8,142.2,young dragon,Traditional,"('虫', '丩')","['丨', '虫']"
蚳,11,142.5,ant eggs,Both,"('虫', '氐')","['丶', '氏', '虫']"
蛮,12,142.6,"barbarians; barbarous, savage",Both,"('亦', '虫')","['虫', '八', '丨', '亠', '亅']"
蟥,17,142.12,leech,Both,"('虫', '黄')","['二', '凵', '虫', '八', '丨', '一', '艸']"
蜖,13,142.7,tapeworm,Unknown,"('虫', '囬')","['囗', '虫', '二']"
蜃,13,142.7,marine monster which can change its shape; water spouts; clams,Both,"('辰', '虫')","['虫', '辰']"
蜥,14,142.8,lizard,Both,"('虫', '析')","['斤', '虫', '木']"
蠕,20,142.14,"to squirm, wriggle",Both,"('虫', '需')","['而', '虫', '雨']"
蟰,19,142.12,small spider with long legs,Both,"('虫', '肅')","['一', '聿', '虫']"
蚩,10,142.4,"worm; ignorant, rustic; laugh",Both,"('㞢', '虫')","['一', '虫', '屮']"
蜍,13,142.7,toad,Both,"('虫', '余')","['干', '人', '虫', '小']"
蚯,11,142.5,earthworm,Both,"('虫', '丘')","['斤', '一', '虫']"
